customer_id,customer_name,revenue,cumulative_revenue,cumulative_percent
C0494,Unnati Mittal,104525.07,31288463.77,88.33
C0185,Bimala Contractor,103260.82,31391724.59,88.62
C0445,Theodore Rama,100860.47,31492585.06,88.9
C0362,Nitesh Kohli,99768.13,31592353.19,89.19
C0405,Pallavi Ratti,99626.46,31691979.65,89.47
C0432,Yochana Bawa,97876.03,31789855.68,89.74
C0490,Libni Bawa,96759.45,31886615.13,90.02
C0145,Nitesh Kurian,96125.05,31982740.18,90.29
C0188,Yashvi Comar,94041.16,32076781.34,90.55
C0057,Ranveer Kumar,93534.74,32170316.08,90.82
C0307,Odika Mital,92780.62,32263096.7,91.08
C0181,Siddharth Devan,90083.89,32353180.59,91.33
C0151,Wahab Yogi,88753.32,32441933.91,91.58
C0289,Jagvi Keer,83776.48,32525710.39,91.82
C0381,Yoshita Chandran,83393.15,32609103.54,92.06
C0194,Gautam Tripathi,83267.11,32692370.65,92.29
C0011,Theodore Nair,81951.49,32774322.14,92.52
C0187,Farhan Randhawa,81857.74,32856179.88,92.75
C0385,Girik Shanker,81272.66,32937452.54,92.98
C0331,Vaishnavi Madan,81135.98,33018588.52,93.21
C0090,Ucchal Raghavan,79968.69,33098557.21,93.44
C0060,Joshua Handa,77725.53,33176282.74,93.66
C0498,Omya Ravel,76621.99,33252904.73,93.87
C0047,Prisha Andra,73821.19,33326725.92,94.08
C0366,Jasmit Nanda,72216.36,33398942.28,94.29
C0134,Ayush Batra,70622.59,33469564.87,94.49
C0183,Xiti Pandya,70330.73,33539895.6,94.68
C0179,Hemani Sani,68123.57,33608019.17,94.88
C0481,Anmol Nazareth,68116.81,33676135.98,95.07
C0466,Ryan Chatterjee,65829.24,33741965.22,95.25
C0318,Ekaja Jani,64110.56,33806075.78,95.44
C0035,Mohammed Gupta,64058.24,33870134.02,95.62
C0112,Rachana Naidu,63656.68,33933790.7,95.8
C0239,Gagan Nagarajan,61712.31,33995503.01,95.97
C0431,Banjeet Kale,60604.1,34056107.11,96.14
C0087,Advik Salvi,59787.59,34115894.7,96.31
C0207,Vivaan Walla,59662.92,34175557.62,96.48
C0294,Nitesh Narang,58692.19,34234249.81,96.64
C0305,Neelima Sarna,58434.85,34292684.66,96.81
C0104,Shravya Savant,58041.91,34350726.57,96.97
C0036,Dipta Bhandari,57425.53,34408152.1,97.13
C0394,Leela Chakraborty,56423.44,34464575.54,97.29
C0365,Tanish Jha,53918.59,34518494.13,97.45
C0338,Yatin Borah,52275.94,34570770.07,97.59
C0441,Anirudh Raja,51612.3,34622382.37,97.74
C0144,Parth Iyer,49855.56,34672237.93,97.88
C0156,Jeremiah Jha,49126.82,34721364.75,98.02
C0459,Harrison Srinivas,48745.76,34770110.51,98.16
C0129,Harish Vora,48715.62,34818826.13,98.29
C0337,Rachana Grewal,48283.63,34867109.76,98.43
C0342,Girik Nair,47773.82,34914883.58,98.57
C0172,Inaya Pillai,42151.28,34957034.86,98.68
C0004,Abeer Dutta,41972.78,34999007.64,98.8
C0458,Ojas Sachdev,39180.32,35038187.96,98.91
C0170,Jason Roy,37424.72,35075612.68,99.02
C0189,Warinder Chauhan,36469.61,35112082.29,99.12
C0310,Wridesh Kar,35971.68,35148053.97,99.22
C0205,Mitesh Gaba,35796.54,35183850.51,99.32
C0357,Sanaya Prasad,33683.0,35217533.51,99.42
C0010,Onveer Walla,30636.79,35248170.3,99.51
C0434,Advik Bhatia,28517.68,35276687.98,99.59
C0225,Dayita Varma,27329.07,35304017.05,99.66
C0166,Tanveer Sani,25946.41,35329963.46,99.74
C0069,Saanvi Thaman,24036.52,35353999.98,99.8
C0438,Orinder Pandya,23898.58,35377898.56,99.87
C0203,Harita Sunder,22256.51,35400155.07,99.94
C0101,Harini Gour,22080.23,35422235.3,100.0
C0217,Oni Shankar,20548.26,35442783.56,100.06
C0376,Amrita Peri,18694.18,35461477.74,100.11
C0317,Advika Parsa,18259.25,35479736.99,100.16
C0142,Zashil Devan,17752.98,35497489.97,100.21
C0119,Riya Behl,17716.38,35515206.35,100.26
C0066,Leena Talwar,17638.95,35532845.3,100.31
C0082,Ryan Bahri,17193.01,35550038.31,100.36
C0113,Amruta Baria,17171.79,35567210.1,100.41
C0267,Urvi Lanka,17036.32,35584246.42,100.45
C0068,Zaid Dara,15332.82,35599579.24,100.5
C0397,Teerth Chadha,15309.31,35614888.55,100.54
C0311,Omaja Wagle,15172.64,35630061.19,100.58
C0379,Noah Dewan,12211.16,35642272.35,100.62
C0308,Prisha Tandon,11263.77,35653536.12,100.65
C0286,Prisha Varma,11088.05,35664624.17,100.68
C0285,Akshay Nazareth,10027.76,35674651.93,100.71
C0131,Faris Narasimhan,9382.9,35684034.83,100.74
C0453,Chaitaly Datta,7430.46,35691465.29,100.76
C0013,Meghana Shanker,6420.83,35697886.12,100.78
C0103,Frederick Kothari,5700.81,35703586.93,100.79
C0152,Mohammed Sachdeva,4457.14,35708044.07,100.8
C0190,Faqid Goel,4349.18,35712393.25,100.82
C0261,Jagat Dave,3765.58,35716158.83,100.83
C0135,Madhav Konda,3468.43,35719627.26,100.84
C0177,Nachiket Dugar,2610.95,35722238.21,100.84
C0007,Chaaya Pathak,1880.27,35724118.48,100.85
C0123,Maanav Rajagopal,1412.75,35725531.23,100.85
C0220,Yashica Tripathi,1253.52,35726784.75,100.86
C0143,Janya Deep,1141.71,35727926.46,100.86
C0465,Mitesh Bhagat,1030.04,35728956.5,100.86
C0163,Vritti Sawhney,341.82,35729298.32,100.86
C0154,Jhalak Parmer,-27742.84,35701555.48,100.79
C0193,Triya Seth,-48019.7,35653535.78,100.65
C0253,Eiravati Khurana,-52865.0,35600670.78,100.5
C0019,Yashica Issac,-55593.57,35545077.21,100.34
C0361,Charita Basu,-121973.58,35423103.63,100.0
