customer_id,customer_name,customer_type,total_value,quartile,quartile_label
C0409,Jagdish Arora,REGULAR,112026.49,3,Silver
C0288,Sanya Loke,PREMIUM,110857.82,3,Silver
C0322,Qarin Bhargava,VIP,110259.67,3,Silver
C0442,Lipika Madan,REGULAR,110213.48,3,Silver
C0111,Anita Tella,PREMIUM,107796.33,3,Silver
C0042,Ekapad Konda,REGULAR,107346.56,3,Silver
C0084,Nihal Mukhopadhyay,PREMIUM,107283.74,3,Silver
C0223,Parth Shetty,VIP,106647.34,3,Silver
C0439,Manthan Banerjee,PREMIUM,106516.72,3,Silver
C0392,Faras Deo,PREMIUM,105030.25,3,Silver
C0494,Unnati Mittal,VIP,104525.07,3,Silver
C0185,Bimala Contractor,PREMIUM,103260.82,3,Silver
C0445,Theodore Rama,REGULAR,100860.47,3,Silver
C0362,Nitesh Kohli,VIP,99768.13,3,Silver
C0405,Pallavi Ratti,REGULAR,99626.46,3,Silver
C0432,Yochana Bawa,REGULAR,97876.03,3,Silver
C0490,Libni Bawa,PREMIUM,96759.45,3,Silver
C0145,Nitesh Kurian,VIP,96125.05,3,Silver
C0188,Yashvi Comar,PREMIUM,94041.16,3,Silver
C0057,Ranveer Kumar,REGULAR,93534.74,3,Silver
C0307,Odika Mital,VIP,92780.62,3,Silver
C0181,Siddharth Devan,VIP,90083.89,3,Silver
C0151,Wahab Yogi,REGULAR,88753.32,3,Silver
C0289,Jagvi Keer,PREMIUM,83776.48,3,Silver
C0381,Yoshita Chandran,VIP,83393.15,3,Silver
C0194,Gautam Tripathi,REGULAR,83267.11,3,Silver
C0011,Theodore Nair,REGULAR,81951.49,3,Silver
C0187,Farhan Randhawa,VIP,81857.74,3,Silver
C0385,Girik Shanker,REGULAR,81272.66,3,Silver
C0331,Vaishnavi Madan,PREMIUM,81135.98,3,Silver
C0090,Ucchal Raghavan,REGULAR,79968.69,3,Silver
C0060,Joshua Handa,REGULAR,77725.53,3,Silver
C0498,Omya Ravel,REGULAR,76621.99,3,Silver
C0047,Prisha Andra,REGULAR,73821.19,3,Silver
C0366,Jasmit Nanda,VIP,72216.36,3,Silver
C0134,Ayush Batra,PREMIUM,70622.59,3,Silver
C0183,Xiti Pandya,VIP,70330.73,3,Silver
C0179,Hemani Sani,PREMIUM,68123.57,3,Silver
C0481,Anmol Nazareth,VIP,68116.81,3,Silver
C0466,Ryan Chatterjee,PREMIUM,65829.24,3,Silver
C0318,Ekaja Jani,PREMIUM,64110.56,3,Silver
C0035,Mohammed Gupta,REGULAR,64058.24,3,Silver
C0112,Rachana Naidu,REGULAR,63656.68,3,Silver
C0239,Gagan Nagarajan,VIP,61712.31,3,Silver
C0431,Banjeet Kale,REGULAR,60604.1,3,Silver
C0087,Advik Salvi,VIP,59787.59,3,Silver
C0207,Vivaan Walla,PREMIUM,59662.92,3,Silver
C0294,Nitesh Narang,PREMIUM,58692.19,3,Silver
C0305,Neelima Sarna,PREMIUM,58434.85,3,Silver
C0104,Shravya Savant,REGULAR,58041.91,3,Silver
C0036,Dipta Bhandari,VIP,57425.53,3,Silver
C0394,Leela Chakraborty,VIP,56423.44,3,Silver
C0365,Tanish Jha,REGULAR,53918.59,3,Silver
C0338,Yatin Borah,REGULAR,52275.94,3,Silver
C0441,Anirudh Raja,PREMIUM,51612.3,3,Silver
C0144,Parth Iyer,REGULAR,49855.56,3,Silver
C0156,Jeremiah Jha,PREMIUM,49126.82,4,Bronze
C0459,Harrison Srinivas,REGULAR,48745.76,4,Bronze
C0129,Harish Vora,PREMIUM,48715.62,4,Bronze
C0337,Rachana Grewal,REGULAR,48283.63,4,Bronze
C0342,Girik Nair,REGULAR,47773.82,4,Bronze
C0172,Inaya Pillai,VIP,42151.28,4,Bronze
C0004,Abeer Dutta,REGULAR,41972.78,4,Bronze
C0458,Ojas Sachdev,REGULAR,39180.32,4,Bronze
C0170,Jason Roy,REGULAR,37424.72,4,Bronze
C0189,Warinder Chauhan,PREMIUM,36469.61,4,Bronze
C0310,Wridesh Kar,REGULAR,35971.68,4,Bronze
C0205,Mitesh Gaba,REGULAR,35796.54,4,Bronze
C0357,Sanaya Prasad,PREMIUM,33683.0,4,Bronze
C0010,Onveer Walla,REGULAR,30636.79,4,Bronze
C0434,Advik Bhatia,PREMIUM,28517.68,4,Bronze
C0225,Dayita Varma,VIP,27329.07,4,Bronze
C0166,Tanveer Sani,PREMIUM,25946.41,4,Bronze
C0069,Saanvi Thaman,PREMIUM,24036.52,4,Bronze
C0438,Orinder Pandya,VIP,23898.58,4,Bronze
C0203,Harita Sunder,PREMIUM,22256.51,4,Bronze
C0101,Harini Gour,REGULAR,22080.23,4,Bronze
C0217,Oni Shankar,VIP,20548.26,4,Bronze
C0376,Amrita Peri,PREMIUM,18694.18,4,Bronze
C0317,Advika Parsa,PREMIUM,18259.25,4,Bronze
C0142,Zashil Devan,REGULAR,17752.98,4,Bronze
C0119,Riya Behl,VIP,17716.38,4,Bronze
C0066,Leena Talwar,PREMIUM,17638.95,4,Bronze
C0082,Ryan Bahri,REGULAR,17193.01,4,Bronze
C0113,Amruta Baria,VIP,17171.79,4,Bronze
C0267,Urvi Lanka,VIP,17036.32,4,Bronze
C0068,Zaid Dara,VIP,15332.82,4,Bronze
C0397,Teerth Chadha,REGULAR,15309.31,4,Bronze
C0311,Omaja Wagle,VIP,15172.64,4,Bronze
C0379,Noah Dewan,REGULAR,12211.16,4,Bronze
C0308,Prisha Tandon,PREMIUM,11263.77,4,Bronze
C0286,Prisha Varma,PREMIUM,11088.05,4,Bronze
C0285,Akshay Nazareth,REGULAR,10027.76,4,Bronze
C0131,Faris Narasimhan,REGULAR,9382.9,4,Bronze
C0453,Chaitaly Datta,VIP,7430.46,4,Bronze
C0013,Meghana Shanker,REGULAR,6420.83,4,Bronze
C0103,Frederick Kothari,VIP,5700.81,4,Bronze
C0152,Mohammed Sachdeva,VIP,4457.14,4,Bronze
C0190,Faqid Goel,VIP,4349.18,4,Bronze
C0261,Jagat Dave,VIP,3765.58,4,Bronze
C0135,Madhav Konda,PREMIUM,3468.43,4,Bronze
C0177,Nachiket Dugar,VIP,2610.95,4,Bronze
C0007,Chaaya Pathak,PREMIUM,1880.27,4,Bronze
C0123,Maanav Rajagopal,VIP,1412.75,4,Bronze
C0220,Yashica Tripathi,REGULAR,1253.52,4,Bronze
C0143,Janya Deep,PREMIUM,1141.71,4,Bronze
C0465,Mitesh Bhagat,REGULAR,1030.04,4,Bronze
C0163,Vritti Sawhney,PREMIUM,341.82,4,Bronze
C0154,Jhalak Parmer,VIP,-27742.84,4,Bronze
C0193,Triya Seth,VIP,-48019.7,4,Bronze
C0253,Eiravati Khurana,REGULAR,-52865.0,4,Bronze
C0019,Yashica Issac,PREMIUM,-55593.57,4,Bronze
C0361,Charita Basu,VIP,-121973.58,4,Bronze
