customer_id,customer_name,first_category,recent_category,category_shift
C0351,Triya Kadakia,Electronics,Clothing,Yes
C0357,Sanaya Prasad,Electronics,Home,Yes
C0358,Hemani Bakshi,Books,Electronics,Yes
C0359,Jack Dhar,Electronics,Clothing,Yes
C0361,Charita Basu,Home,Electronics,Yes
C0362,Nitesh Kohli,Clothing,Clothing,No
C0364,Meghana Balakrishnan,Clothing,Electronics,Yes
C0365,Tanish Jha,Books,Electronics,Yes
C0366,Jasmit Nanda,Home,Books,Yes
C0367,Dhriti Rama,Clothing,Books,Yes
C0371,Ojas Suri,Books,Clothing,Yes
C0375,Om Shankar,Clothing,Clothing,No
C0376,Amrita Peri,Clothing,Clothing,No
C0378,Reva Dalal,Clothing,Clothing,No
C0379,Noah Dewan,Electronics,Electronics,No
C0381,Yoshita Chandran,Home,Home,No
C0382,Kevin Krish,Electronics,Clothing,Yes
C0384,Neha Varma,Electronics,Clothing,Yes
C0385,Girik Shanker,Electronics,Electronics,No
C0390,Zashil Butala,Clothing,Electronics,Yes
C0392,Faras Deo,Clothing,Home,Yes
C0393,Hemal Dara,Clothing,Electronics,Yes
C0394,Leela Chakraborty,Books,Electronics,Yes
C0397,Teerth Chadha,Home,Clothing,Yes
C0402,Kevin Ram,Books,Home,Yes
C0405,Pallavi Ratti,Electronics,Clothing,Yes
C0408,Radha D’Alia,Home,Home,No
C0409,Jagdish Arora,Books,Home,Yes
C0411,Jacob Balan,Clothing,Books,Yes
C0414,Vedant Upadhyay,Home,Home,No
C0416,Udarsh Nagy,Electronics,Home,Yes
C0418,Nandini Biswas,Clothing,Electronics,Yes
C0419,Gabriel Shan,Clothing,Electronics,Yes
C0420,Xavier Shetty,Clothing,Books,Yes
C0425,Girish Tiwari,Books,Clothing,Yes
C0431,Banjeet Kale,Home,Home,No
C0432,Yochana Bawa,Clothing,Electronics,Yes
C0433,Zaid Chandra,Books,Home,Yes
C0434,Advik Bhatia,Electronics,Books,Yes
C0437,Rachita Rana,Clothing,Electronics,Yes
C0438,Orinder Pandya,Home,Home,No
C0439,Manthan Banerjee,Books,Electronics,Yes
C0441,Anirudh Raja,Books,Clothing,Yes
C0442,Lipika Madan,Books,Home,Yes
C0444,Nathaniel Chaudhry,Clothing,Clothing,No
C0445,Theodore Rama,Home,Books,Yes
C0447,Parth Swaminathan,Home,Electronics,Yes
C0448,Anmol Vyas,Home,Clothing,Yes
C0450,Lucky Choudhry,Books,Books,No
C0452,Edhitha Ghosh,Home,Clothing,Yes
C0453,Chaitaly Datta,Clothing,Clothing,No
C0456,Sanya Apte,Clothing,Clothing,No
C0457,Hritik Agarwal,Clothing,Books,Yes
C0458,Ojas Sachdev,Clothing,Electronics,Yes
C0459,Harrison Srinivas,Books,Books,No
C0460,Chaitaly Bahri,Clothing,Home,Yes
C0465,Mitesh Bhagat,Clothing,Clothing,No
C0466,Ryan Chatterjee,Clothing,Clothing,No
C0469,Rachit Sehgal,Home,Home,No
C0473,Jai Sen,Electronics,Clothing,Yes
C0475,Aarna Nagarajan,Electronics,Books,Yes
C0476,Eshana Majumdar,Home,Electronics,Yes
C0481,Anmol Nazareth,Books,Books,No
C0482,Vedant Desai,Electronics,Home,Yes
C0486,Dalbir Krish,Clothing,Clothing,No
C0490,Libni Bawa,Clothing,Electronics,Yes
C0492,Urvi Deo,Clothing,Home,Yes
C0494,Unnati Mittal,Electronics,Clothing,Yes
C0495,Barkha Misra,Home,Books,Yes
C0498,Omya Ravel,Books,Books,No
C0499,Hemal Kapadia,Books,Clothing,Yes
