customer_id,customer_name,email,registration_date,customer_type,email_valid
C0139,Rushil Rajagopalan,pchhabra@example.com,2024-12-17,REGULAR,True
C0140,Chakrika Merchant,randhawaanvi@example.org,2024-01-06,PREMIUM,True
C0141,Watika Mangat,indirakanda@example.net,2024-09-09,PREMIUM,True
C0142,Zashil Devan,baraldayamai@example.com,2023-08-01,REGULAR,True
C0143,Janya Deep,merchanteta@example.net,2025-05-20,PREMIUM,True
C0144,Parth Iyer,jasmitwali@example.net,2024-01-02,REGULAR,True
C0145,Nitesh Kurian,vmerchant@example.com,2023-06-07,VIP,True
C0146,Upadhriti Borra,upkaarranganathan@example.net,2025-05-06,PREMIUM,True
C0147,Gautam Rana,lallajatin@example.com,2024-08-06,VIP,True
C0148,Adweta Raj,hritik37@example.org,2025-10-01,VIP,True
C0149,Timothy Bhatnagar,pmittal@example.com,2023-08-10,PREMIUM,True
C0150,Logan Bath,modiwaida@example.org,2024-08-14,PREMIUM,True
C0151,Wahab Yogi,lipikasetty@example.com,2023-05-05,REGULAR,True
C0152,Mohammed Sachdeva,surinikita@example.com,2024-04-28,VIP,True
C0153,Kamala Kalla,psaxena@example.com,2025-06-22,VIP,True
C0154,Jhalak Parmer,raoanya@example.org,2024-03-04,VIP,True
C0155,Suhani Chand,anshbedi@example.com,2024-09-29,PREMIUM,True
C0156,Jeremiah Jha,johaltarak@example.org,2024-08-23,PREMIUM,True
C0157,Manbir Agate,maanav28@example.com,2025-04-02,VIP,True
C0158,Imaran Bal,alexanderparmar@example.org,2025-07-01,VIP,True
C0159,Amol Ghosh,charles26@example.net,2023-07-24,VIP,True
C0160,Devansh Soni,gpathak@example.net,2024-07-27,REGULAR,True
C0161,Siya Thakur,calebverma@example.com,2025-02-17,VIP,True
C0162,Azaan Bhat,bratti@example.net,2025-05-02,REGULAR,True
C0163,Vritti Sawhney,buchekanta@example.net,2025-01-28,PREMIUM,True
C0164,Dominic Date,ekta69@example.net,2026-01-15,PREMIUM,True
C0165,Sudiksha Tiwari,ychaudhary@example.net,2025-05-11,VIP,True
C0166,Tanveer Sani,akari@example.com,2023-09-05,PREMIUM,True
C0167,Mohini Sagar,munshiprisha@example.com,2026-06-02,REGULAR,True
C0168,Kavya Dua,fbhavsar@example.org,2025-03-22,REGULAR,True
C0169,Rachana Char,kalpit80@example.net,2023-07-19,PREMIUM,True
C0170,Jason Roy,pallavi04@example.net,2025-01-19,REGULAR,True
C0171,Indira Chawla,mohammedsubramaniam@example.org,2023-11-05,VIP,True
C0172,Inaya Pillai,mallickupkaar@example.com,2023-04-26,VIP,True
C0173,Amara Balakrishnan,anjalimore@example.com,2023-12-20,VIP,True
C0174,Abeer Golla,nandiniboase@example.org,2023-08-15,PREMIUM,True
C0175,Gavin Wali,krishasaini@example.com,2023-05-18,PREMIUM,True
C0176,Nakul Pingle,ekta99@example.org,2023-10-15,PREMIUM,True
C0177,Nachiket Dugar,bumbanita@example.com,2025-01-23,VIP,True
C0178,Vedika Sathe,nmahajan@example.net,2023-07-12,PREMIUM,True
C0179,Hemani Sani,mandervidhi@example.net,2024-11-28,PREMIUM,True
C0180,Chakradev Kannan,abhakta@example.org,2024-11-05,REGULAR,True
C0181,Siddharth Devan,bimala51@example.org,2024-08-28,VIP,True
C0182,Qushi Gill,lajitawalia@example.net,2025-08-09,REGULAR,True
C0183,Xiti Pandya,ranganathanbrijesh@example.com,2025-08-05,VIP,True
C0184,Tripti Brahmbhatt,pushti96@example.net,2024-02-15,PREMIUM,True
C0185,Bimala Contractor,ubail@example.org,2023-11-02,PREMIUM,True
C0186,Janaki Chakrabarti,pcherian@example.com,2024-02-04,PREMIUM,True
C0187,Farhan Randhawa,harinakshi35@example.org,2026-05-04,VIP,True
C0188,Yashvi Comar,ikshitapanchal@example.net,2026-06-01,PREMIUM,True
C0189,Warinder Chauhan,aahanahora@example.org,2024-04-06,PREMIUM,True
C0190,Faqid Goel,wshetty@example.net,2023-05-22,VIP,True
C0191,Ekantika Mutti,riabir@example.com,2023-09-18,REGULAR,True
C0192,Chavvi Maharaj,pandeyyashica@example.org,2023-09-23,REGULAR,True
C0193,Triya Seth,bhandarijyoti@example.com,2024-03-07,VIP,True
C0194,Gautam Tripathi,lshere@example.net,2023-10-30,REGULAR,True
C0195,Shivani Guha,vamakshi82@example.org,2023-06-16,REGULAR,True
C0196,Harshil Oza,thamanorinder@example.org,2023-04-15,VIP,True
C0197,Raksha Sarna,janujapradhan@example.com,2024-01-18,REGULAR,True
C0198,Nilima Nigam,nattdominic@example.com,2025-06-06,REGULAR,True
C0199,Libni Mander,mason51@example.net,2024-08-12,REGULAR,True
C0200,Inaya Mukherjee,mdayal@example.net,2024-07-22,PREMIUM,True
C0201,Dayita Puri,joshua81@example.net,2024-02-01,PREMIUM,True
C0202,Yashoda Pathak,patildayamai@example.org,2023-10-24,REGULAR,True
C0203,Harita Sunder,upkaardevan@example.org,2026-02-27,PREMIUM,True
C0204,Chakrika Chaudhuri,nayarkaran@example.net,2026-01-24,VIP,True
C0205,Mitesh Gaba,noahsarma@example.org,2026-04-11,REGULAR,True
C0206,Janya Khanna,wmane@example.net,2026-05-03,VIP,True
C0207,Vivaan Walla,dayamaisingh@example.org,2025-09-28,PREMIUM,True
C0208,Ridhi Shenoy,lavanya88@example.com,2023-04-15,REGULAR,True
C0209,Ryan Devi,charles75@example.net,2025-01-05,PREMIUM,True
C0210,Zaitra Dash,fiyaz24@example.com,2025-10-22,REGULAR,True
C0211,Rajeshri Chand,shravyapalla@example.org,2025-11-04,VIP,True
C0212,Chatresh Randhawa,warinder61@example.com,2024-09-13,VIP,True
C0213,Ayaan Nagar,nayakmadhav@example.org,2024-05-06,PREMIUM,True
C0214,Bhavini Sodhi,upasnasen@example.net,2025-05-03,REGULAR,True
C0215,Fariq Bahl,tanveer28@example.net,2025-02-01,REGULAR,True
C0216,Indrajit Mani,charvidara@example.org,2024-10-04,VIP,True
C0217,Oni Shankar,choudhryxalak@example.net,2025-10-09,VIP,True
C0218,Yutika Khurana,bishakhasanghvi@example.org,2024-07-02,VIP,True
C0219,Wridesh Saha,frederickviswanathan@example.com,2024-05-16,REGULAR,True
C0220,Yashica Tripathi,ramakrishnanupma@example.org,2024-07-15,REGULAR,True
C0221,Kashvi Kulkarni,parikhekansh@example.com,2023-09-14,REGULAR,True
C0222,Hemang Natarajan,chaitanyapandey@example.net,2024-06-02,VIP,True
C0223,Parth Shetty,zgopal@example.org,2023-11-15,VIP,True
C0224,Tanvi Bansal,saksham03@example.org,2025-06-18,VIP,True
C0225,Dayita Varma,qsolanki@example.org,2024-12-07,VIP,True
C0226,Bhavika Parikh,narulaanjali@example.org,2023-06-07,PREMIUM,True
C0227,Rajeshri Ratta,vraju@example.org,2024-12-11,PREMIUM,True
C0228,Widisha Pillai,fitan61@example.com,2025-12-18,PREMIUM,True
C0229,Chaaya Nagi,buchfalak@example.net,2025-01-30,PREMIUM,True
C0230,Damini Sehgal,sganesan@example.com,2024-04-28,PREMIUM,True
C0231,Sanya Basak,radhika40@example.org,2024-08-17,REGULAR,True
C0232,Januja Varghese,azaandhar@example.net,2024-06-17,PREMIUM,True
C0233,Bakhshi Date,keerjeevika@example.com,2024-11-25,VIP,True
C0234,Bachittar Dube,xprabhakarexample.com,2025-12-20,REGULAR,False
C0235,Laksh Wagle,mitali54@example.org,2023-09-17,VIP,True
C0236,Atharv Grewal,yvasa@example.net,2023-10-12,VIP,True
C0237,Adweta Lad,nkala@example.com,2023-12-09,REGULAR,True
C0238,Ryan Das,ethanseth@example.org,2025-03-17,PREMIUM,True
C0239,Gagan Nagarajan,dhruv88@example.com,2024-09-24,VIP,True
C0240,Nakul Ghosh,yashoda31@example.org,2023-10-18,VIP,True
C0241,Warjas Tak,pateljyoti@example.com,2024-01-24,VIP,True
C0242,Gabriel Bhatti,mitali78@example.com,2024-06-23,VIP,True
C0243,Ethan Dass,ethan77@example.net,2024-09-24,PREMIUM,True
C0244,Kabir Gopal,rachitathakkar@example.org,2025-05-15,PREMIUM,True
C0245,Zarna Dua,nitesh25@example.net,2023-06-12,VIP,True
C0246,Hiral Venkataraman,farhan43@example.net,2025-03-27,VIP,True
C0247,Jeremiah Mitter,thakkarom@example.net,2023-07-05,VIP,True
C0248,Onveer Nazareth,balakrishnanfinn@example.org,2025-11-20,REGULAR,True
C0249,Shivansh Saha,tankbimala@example.net,2024-06-04,REGULAR,True
C0250,Vasudha Konda,dmishra@example.org,2023-06-16,REGULAR,True
C0251,Nakul Sarraf,dsule@example.org,2026-02-22,VIP,True
C0252,Maanas Munshi,hemani62@example.com,2025-09-28,VIP,True
C0253,Eiravati Khurana,rdas@example.com,2023-09-12,REGULAR,True
C0254,Lohit Chatterjee,mannanleena@example.net,2024-11-08,PREMIUM,True
C0255,Yuvraj Dutta,dhriti32@example.com,2024-07-16,REGULAR,True
C0256,Wishi Morar,fbajaj@example.com,2025-01-12,PREMIUM,True
C0257,Wridesh Kale,chanakya04@example.com,2026-01-31,PREMIUM,True
C0258,Bhavika Yadav,chokshiraagini@example.org,2026-02-24,REGULAR,True
C0259,Jasmit Rau,chakradev60@example.net,2023-04-18,PREMIUM,True
C0260,Janani Mani,rajuyamini@example.com,2025-01-21,REGULAR,True
C0261,Jagat Dave,rameshkashvi@example.com,2024-02-12,VIP,True
C0262,Maanas Issac,ctella@example.org,2025-03-08,VIP,True
C0263,Laksh Nath,dvenkataraman@example.org,2023-12-20,PREMIUM,True
C0264,Falak Nagar,mayamistry@example.net,2024-01-17,PREMIUM,True
C0265,Yashica Upadhyay,emistry@example.org,2026-02-10,VIP,True
C0266,Garima Choudhary,ymorar@example.net,2025-11-22,REGULAR,True
C0267,Urvi Lanka,charansrinivasan@example.org,2024-12-19,VIP,True
C0268,Manbir Kibe,choudharyrayaan@example.org,2025-02-07,REGULAR,True
C0269,Dipta Sahota,nitarajani@example.com,2025-07-28,REGULAR,True
C0270,David Devi,ektasridhar@example.net,2023-10-25,PREMIUM,True
C0271,Dipta Ghose,vwalia@example.net,2024-10-31,VIP,True
C0272,Aishani Sule,yatinmallick@example.net,2023-11-27,REGULAR,True
C0273,Umang Mishra,sarthak75@example.com,2024-12-19,VIP,True
C0274,Anusha Mani,raghavanmegha@example.com,2025-05-04,PREMIUM,True
C0275,Bina Basak,farhan57@example.net,2025-03-10,VIP,True
C0276,Varenya Kala,anikamagar@example.org,2024-12-16,REGULAR,True
C0277,Wriddhish Kibe,waliupkaar@example.net,2025-07-09,PREMIUM,True
C0278,Charles Chaudhry,tnarayanan@example.com,2023-04-05,PREMIUM,True
C0279,Laksh Ahluwalia,niharikasoni@example.com,2023-10-28,VIP,True
C0280,Bhavna Nagi,daniel19@example.org,2024-03-11,PREMIUM,True
C0281,Parth Sahni,balhaarranganathan@example.com,2023-09-06,PREMIUM,True
C0282,Bimala Barad,misrahredhaan@example.com,2026-03-24,PREMIUM,True
C0283,Suhani Viswanathan,gdesai@example.com,2025-01-17,REGULAR,True
C0284,Reyansh Chowdhury,nicholas74@example.net,2026-05-02,VIP,True
C0285,Akshay Nazareth,reyansh29@example.net,2026-03-23,REGULAR,True
C0286,Prisha Varma,gabriel61@example.org,2023-12-21,PREMIUM,True
C0287,Vansha Naik,abeerlal@example.com,2024-01-03,VIP,True
C0288,Sanya Loke,chasmum99@example.org,2025-12-09,PREMIUM,True
C0289,Jagvi Keer,daniudyati@example.com,2024-07-31,PREMIUM,True
C0290,Nidra Thakkar,jacob45@example.net,2025-07-19,PREMIUM,True
C0291,Theodore Deol,ddua@example.net,2023-09-03,PREMIUM,True
C0292,Ojasvi Sinha,yugbumb@example.net,2024-03-15,VIP,True
C0293,Janaki Brahmbhatt,bhatiayashasvi@example.org,2025-12-15,PREMIUM,True
C0294,Nitesh Narang,rdada@example.org,2025-10-19,PREMIUM,True
C0295,Gavin Uppal,dbhakta@example.org,2026-06-11,VIP,True
C0296,Tanmayi Bhardwaj,umorar@example.org,2023-11-10,PREMIUM,True
C0297,Aachal Aggarwal,elijahbath@example.com,2023-07-18,PREMIUM,True
C0298,Devansh Bhasin,sodhiazad@example.com,2023-08-28,VIP,True
C0299,Pranit Deshmukh,yprasad@example.com,2026-02-28,REGULAR,True
C0300,Keya Buch,ijayadani@example.org,2025-09-18,PREMIUM,True
C0301,Joshua Kapoor,bajajchanchal@example.com,2023-09-25,REGULAR,True
C0302,Ladli Karpe,trivenipal@example.org,2025-02-08,VIP,True
C0303,Ranbir Chowdhury,sainiamol@example.org,2023-05-12,REGULAR,True
C0304,Ekalinga Chaudhuri,sekhonchanakya@example.org,2025-12-05,REGULAR,True
C0305,Neelima Sarna,teerthbhalla@example.org,2025-10-24,PREMIUM,True
C0306,Vivaan Nagar,warjas42@example.net,2025-08-02,PREMIUM,True
C0307,Odika Mital,darsh89@example.net,2024-10-24,VIP,True
C0308,Prisha Tandon,padmanabhanlakshmi@example.net,2024-02-14,PREMIUM,True
C0309,Omaja Rege,charitapuri@example.org,2025-01-30,PREMIUM,True
C0310,Wridesh Kar,maanas70@example.net,2024-04-19,REGULAR,True
C0311,Omaja Wagle,lipikakibe@example.com,2023-08-08,VIP,True
C0312,Ganga Brar,fprabhakar@example.net,2026-01-22,PREMIUM,True
C0313,Charan Loyal,ebaral@example.org,2024-02-15,PREMIUM,True
C0314,Varenya Joshi,chavvi03@example.org,2023-08-09,PREMIUM,True
C0315,Varenya Kibe,mekhalakhatri@example.net,2024-11-11,VIP,True
C0316,Barkha Rai,pwalla@example.com,2023-09-15,REGULAR,True
C0317,Advika Parsa,gshukla@example.net,2023-09-26,PREMIUM,True
C0318,Ekaja Jani,dhriti60@example.net,2023-05-28,PREMIUM,True
C0319,Madhav Babu,omisha42@example.org,2024-08-23,REGULAR,True
C0320,Victor Raghavan,xalaknazareth@example.com,2025-02-09,VIP,True
C0321,Vritti Sharma,indiragara@example.org,2024-02-23,REGULAR,True
C0322,Qarin Bhargava,bordechanakya@example.org,2023-10-19,VIP,True
C0323,Laksh Kashyap,doraaditya@example.org,2024-04-24,PREMIUM,True
C0324,Kashvi Bhasin,bsura@example.org,2025-08-06,PREMIUM,True
C0325,Advik Badal,bhavini08@example.net,2025-09-28,VIP,True
C0326,Praneel Chhabra,viswanathanmanthan@example.org,2024-08-03,REGULAR,True
C0327,Zayyan Pandya,mekhala15@example.com,2023-12-25,REGULAR,True
C0328,Yagnesh Kara,faris01@example.com,2023-11-21,REGULAR,True
C0329,Krishna Soni,andraonveer@example.org,2024-02-25,VIP,True
C0330,Radha Narula,wablebrijesh@example.org,2026-01-11,PREMIUM,True
C0331,Vaishnavi Madan,bordeavni@example.net,2024-12-18,PREMIUM,True
C0332,Praneel Murty,johalmaanas@example.net,2024-03-21,VIP,True
C0333,Faraj Mistry,wrideshramachandran@example.net,2024-08-10,VIP,True
C0334,Leena Dey,tellahiral@example.org,2024-04-26,PREMIUM,True
C0335,Rajeshri Kata,oakmekhala@example.com,2023-09-18,VIP,True
C0336,Anjali Seshadri,wkari@example.net,2026-01-24,REGULAR,True
C0337,Rachana Grewal,xchada@example.net,2024-11-02,REGULAR,True
C0338,Yatin Borah,loyalmitesh@example.com,2024-01-07,REGULAR,True
C0339,Lopa Nadig,hredhaan10@example.com,2025-11-20,PREMIUM,True
C0340,Jagvi Madan,deogagan@example.org,2024-10-08,REGULAR,True
C0341,Saumya Vala,bchauhan@example.org,2026-02-19,PREMIUM,True
C0342,Girik Nair,sarora@example.com,2024-01-13,REGULAR,True
C0343,Frado Kibe,lajitagara@example.org,2024-02-21,VIP,True
C0344,Charvi Loyal,edhingra@example.org,2025-06-10,REGULAR,True
C0345,Anya Sama,veda15@example.com,2024-04-21,VIP,True
C0346,Warhi Hayre,ichhabra@example.com,2023-08-29,VIP,True
C0347,Meghana Natarajan,cnarayan@example.com,2023-11-12,VIP,True
C0348,Laban Mital,sai75@example.org,2025-01-07,VIP,True
C0349,Eiravati Manne,ukibe@,2024-11-01,VIP,False
C0350,Maya Patla,iyengarpranit@example.net,2026-01-13,PREMIUM,True
C0351,Triya Kadakia,smanne@example.org,2024-10-09,VIP,True
C0352,Xalak Dewan,wyatt42@example.net,2025-01-17,PREMIUM,True
C0353,Krishna Borah,lsrinivas@example.com,2025-05-02,PREMIUM,True
C0354,Balhaar Parsa,choprayuvraj@example.net,2025-11-07,REGULAR,True
C0355,Ojas Basu,ynarula@example.com,2024-06-08,VIP,True
C0356,Advaith Chaudhari,tristan88@example.net,2024-10-17,REGULAR,True
C0357,Sanaya Prasad,xsheth@example.net,2024-03-25,PREMIUM,True
C0358,Hemani Bakshi,scheema@example,2026-03-05,VIP,False
C0359,Jack Dhar,devika57@example.org,2024-11-04,REGULAR,True
C0360,Ijaya Soni,sarmasneha@example.com,2024-06-22,REGULAR,True
C0361,Charita Basu,bajajhemal@example.net,2025-01-16,VIP,True
C0362,Nitesh Kohli,nathanielnarayanan@example.net,2025-09-06,VIP,True
C0363,Turvi Kata,lgour@example.net,2026-03-25,PREMIUM,True
C0364,Meghana Balakrishnan,shivanisanghvi@example.com,2026-04-06,VIP,True
C0365,Tanish Jha,dev91@example.net,2025-09-17,REGULAR,True
C0366,Jasmit Nanda,tanvicomar@example.com,2024-08-13,VIP,True
C0367,Dhriti Rama,wcomar@example.com,2025-04-28,REGULAR,True
